Title,Price,Link,Status,Loc_Date
Szybki komputer MSI i5 RX580 8GB ram 16GB SSD 512GB,2 200 złdo negocjacji,/d/oferta/szybki-komputer-msi-i5-rx580-8gb-ram-16gb-ssd-512gb-CID99-IDTgB6f.html,Używane,"Poznań, Junikowo - Odświeżono dnia 31 marca 2023"
Komputer i3 4BG 1TB zestaw monitor klawiatura mysz kable Dell INSPIRON,200 złdo negocjacji,/d/oferta/komputer-i3-4bg-1tb-zestaw-monitor-klawiatura-mysz-kable-dell-inspiron-CID99-IDTYqly.html,Używane,Opole - Dzisiaj o 13:59
"Płyta główna Gigabyte H310M H , Procesor i3-8100",400 zł,/d/oferta/plyta-glowna-gigabyte-h310m-h-procesor-i3-8100-CID99-IDOpWPS.html,Używane,"Łódź, Bałuty - Dzisiaj o 13:57"
Komputer intel pentium karta tv + osprzet,200 zł,/d/oferta/komputer-intel-pentium-karta-tv-osprzet-CID99-IDTYqdK.html,Używane,Opalenica - Dzisiaj o 13:57
Pamięci Ram Crucial Ballistix Sport DDR4 16GB (2x8GB) 2400MHz,200 zł,/d/oferta/pamieci-ram-crucial-ballistix-sport-ddr4-16gb-2x8gb-2400mhz-CID99-IDREkIr.html,Używane,"Łódź, Bałuty - Dzisiaj o 13:56"
Szybki komputer Gamingowy Fortnite MSI PNY GTX 1660 Ti Win11 Pl Gwaran,1 799 zł,/d/oferta/szybki-komputer-gamingowy-fortnite-msi-pny-gtx-1660-ti-win11-pl-gwaran-CID99-IDTA1p1.html,Używane,Pelplin - Odświeżono Dzisiaj o 13:56
Komputer gamingowy,1 300 złdo negocjacji,/d/oferta/komputer-gamingowy-CID99-IDTu4BR.html,Używane,Gorzów Wielkopolski - Dzisiaj o 13:55
Zabytkowe komputery muzeum IBM PC XT AT Toshiba Compaq Commodore,45 000 zł,/d/oferta/zabytkowe-komputery-muzeum-ibm-pc-xt-at-toshiba-compaq-commodore-CID99-IDTYq66.html,Używane,Bytonia - Dzisiaj o 13:54
"iMac 21.5"" 2015, i5 2,8GHz, 8GB RAM, Intel Iris Pro, 1TB",1 900 złdo negocjacji,/d/oferta/imac-21-5-2015-i5-2-8ghz-8gb-ram-intel-iris-pro-1tb-CID99-IDPUgBQ.html,Używane,Wejherowo - Dzisiaj o 13:53
Komputer+Monitor,2 500 zł,/d/oferta/komputer-monitor-CID99-IDTYq0y.html,Używane,Bytom - Dzisiaj o 13:53
Komputer do gier,2 300 zł,/d/oferta/komputer-do-gier-CID99-IDTYq07.html,Używane,"Częstochowa, Wyczerpy - Aniołów - Dzisiaj o 13:52"
HP EliteDesk i5 8400 SSD 512 GB 8 GB ram win 10,900 złdo negocjacji,/d/oferta/hp-elitedesk-i5-8400-ssd-512-gb-8-gb-ram-win-10-CID99-IDTCuPW.html,Używane,Koszalin - 15 marca 2023
"Apple iMac 27 Retina 5K 2019 i5 3,0GHz/40GB/1TbSSD/Radeon Pro 570X 4GB",6 000 zł,/d/oferta/apple-imac-27-retina-5k-2019-i5-3-0ghz-40gb-1tbssd-radeon-pro-570x-4gb-CID99-IDTzJGQ.html,Używane,"Warszawa, Ochota - Odświeżono dnia 03 kwietnia 2023"
Sprzedam komputer do gier oraz pracy,2 000 złdo negocjacji,/d/oferta/sprzedam-komputer-do-gier-oraz-pracy-CID99-IDTMHdE.html,Używane,"Warszawa, Rembertów - 25 marca 2023"
Komputer PC AMD FX-6300/12GB RAM/256GB SSD + 2TB HDD/GeForce GT730 2GB,850 zł,/d/oferta/komputer-pc-amd-fx-6300-12gb-ram-256gb-ssd-2tb-hdd-geforce-gt730-2gb-CID99-IDRGW28.html,Używane,"Łódź, Śródmieście - Dzisiaj o 13:52"
Komputer do gier Intel Core i7 11700 /16gb ram/ RX 6700XT/SSD NVME 1TB,4 950 zł,/d/oferta/komputer-do-gier-intel-core-i7-11700-16gb-ram-rx-6700xt-ssd-nvme-1tb-CID99-IDTHjAP.html,Nowe,Toruń - Odświeżono Dzisiaj o 13:52
Komputer stacjonarny Medion AMD Athlon 5400+,350 zł,/d/oferta/komputer-stacjonarny-medion-amd-athlon-5400-CID99-IDHepeJ.html,Używane,Sieradz - Dzisiaj o 13:50
